Metabolite ID,Metabolites Names
_2348_3_c,FOLR1
_2348_1_c,FOLR1
_2348_6_c,FOLR1
_2352_1_c,FOLR3
_2348_4_c,FOLR1
_2348_2_c,FOLR1
_4125_1_l,MAN2B1
_53947_1_g,A4GALT
_65985_1_c,AACS
_28_1_g,ABO
_223_1_c,ALDH9A1
_206358_1_c,SLC36A1
_38_1_m,ACAT1
_39_1_c,ACAT2
_3030_1_m,HADHA
_3032_1_m,HADHB
_3030_1_m_3032_1_m,HADHA:HADHB
_39_1_x,ACAT2
_30_1_x,ACAA1
_9197_1_c,SLC33A1
_55577_1_c,NAGK
_5238_1_c,PGM3
_9487_1_c,PIGL
_43_1[e],ACHE
_43_2[e],ACHE
_47_1_c,ACLY
_47_2_c,ACLY
_54187_1_c,NANS
_26503_1_c,SLC17A5
_36_1_m,ACADSB
_34_1_m,ACADM
_80724_1_m,ACAD10
_35_1_m,ACADS
_84129_1_m,ACAD11
_27034_1_m,ACAD8
_28976_1_m,ACAD9
_51_1_x,ACOX1
_51_2_x,ACOX1
_3658_1_c,IREB2
_48_1_c,ACO1
_50_1_m,ACO2
_8309_1_x,ACOX2
_52_1_c,ACP1
_52_3_c,ACP1
_52_2_c,ACP1
_788_1_c,SLC25A20
_100_1_c,ADA
_100_1[e],ADA
_3177_1_c,SLC29A2
_122481_1_c,AK7
_203_1_c,AK1
_26289_1_c,AK5
_26289_2_c,AK5
_205_3_m,AK4
_205_1_m,AK4
_204_1_m,AK2
_204_3_m,AK2
_204_2_m,AK2
_205_2_m,AK4
_50808_1_m,AK3
_262_1_c,AMD1
_112_1_c,ADCY6
_55811_1_c,ADCY10
_109_1_c,ADCY3
_112_2_c,ADCY6
_114_1_c,ADCY8
_108_1_c,ADCY2
_113_1_c,ADCY7
_107_1_c,ADCY1
_196883_1_c,ADCY4
_115_1_c,ADCY9
_111_1_c,ADCY5
_2030_1_c,SLC29A1
_1375_1_c,CPT1B
_1375_3_c,CPT1B
_1375_4_c,CPT1B
_126129_1_c,CPT1C
_1374_1_c,CPT1A
_1375_2_c,CPT1B
_1376_1_m,CPT2
_9060_1_c,PAPSS2
_9061_1_c,PAPSS1
_158_1_c,ADSL
_158_2_c,ADSL
_159_1_c,ADSS
_122622_1_c,ADSSL1
_122622_2_c,ADSSL1
